id,answer
0,a combination
1,bookmarks
2,the browsers layout engine
3,internet explorer
4,late 2004
5,windows
6,1990
7,all browsers
8,marc andreessen
9,marc andreessen
10,competition
11,his own company
12,internet relay chat
13,january
14,every major web browser
15,january 2003
16,january 2009
17,file transfer protocol
18,google
19,the case
20,rich user interfaces
21,2002
22,1996
23,all major web browsers
24,chromes userbase
25,an additive share
26,december 2011
27,1993
28,netscape
29,apples safari
30,the rapid development
31,the prefix
32,the mozilla foundation
33,private networks
34,the mac
35,a comparison
36,1994
37,a user interface
38,addition
39,major browsers
40,information resources
41,live bookmarks
42,a more traditional feed reader
43,bookmarks
44,september 2008
45,uniform resource locator
46,browser software
47,the world wide web
48,microsoft corp
49,mobile safari
50,the process
51,windows
52,the users default email application
53,a browser extension
54,45 hour
55,the carrefour boycott
56,chinese media
57,protests
58,several protests
59,the noted indian social activist
60,san franciscos
61,several protests
62,justin herman plaza
63,some western media
64,uk
65,lee cheuk yan
66,air china
67,mccovey cove
68,the relay supporters
69,its arrival
70,about a thousand people
71,turkey
72,foreign minister stephen smith
73,french members
74,kamal nath
75,republic day celebrations
76,april 5
77,members
78,april 1 2008
79,april 16
80,carlos espínola
81,accountability
82,april 16
83,sachin tendulkar
84,10 downing street
85,the torch
86,carrefour
87,2012
88,north korea
89,750000
90,libération
91,libération
92,an attempt
93,seoul
94,libération
95,a giant banner
96,just over 10 km
97,seven
98,uyghurs
99,reporters without borders
100,macau
101,a vietnamese american
102,several protests
103,the event
104,chinese media
105,march
106,tibet
107,justin herman plaza
108,libération
109,several hundred
110,costanera sur
111,the original 20 km relay
112,thousands
113,assurances
114,a man
115,foreign minister stephen smith
116,a major setback
117,democracy
118,1964
119,kazakhstan
120,turkey
121,reports
122,australian police
123,aluminum
124,may 2
125,march 2008
126,jon stanhope
127,20 km
128,ted quinlan
129,several protests
130,may 2
131,kuala lumpur
132,i
133,china
134,tsim sha tsui
135,japanese
136,lee cheuk yan
137,the coverage
138,the chaotic torch relays
139,as many as 1000
140,the event
141,may 3
142,thupten gyatso
143,april 17
144,no protests
145,one
146,two
147,chinese
148,ladbroke grove
149,april 29
150,about 2200 police
151,one
152,meals
153,the relay
154,libération
155,a vietnamese american
156,the 2008 summer olympics torch relay
157,intended torchbearers choi seungkook
158,ted quinlan
159,thousands
160,1964
161,justin herman plaza
162,april 5
163,francesca martinez
164,peter ueberroth
165,the first time
166,olympia
167,the daily telegraph
168,susan prager
169,the chinese officials
170,united nations plaza
171,jackie chan
172,times
173,bhutia
174,kazakhstan
175,great britain
176,april
177,1964
178,trocadéro
179,the distinction
180,the torch
181,two
182,jane birkin
183,one
184,security concerns
185,may 2
186,‘caged woman’
187,april
188,france
189,chinese
190,the torch relay route
191,peter ueberroth
192,70
193,one
194,85000
195,carlos espínola
196,tibet
197,jin jing
198,the torch
199,the day
200,1964
201,libération
202,nathan road
203,intended torchbearers choi seungkook
204,the torch
205,protests
206,no major protests
207,these protests
208,turkey
209,a japanese family
210,taipei
211,baichung bhutia
212,malaysia
213,chinese immigrants
214,april 3
215,no politicians
216,several protests
217,chinese demands
218,parliament
219,the days
220,chinas relations
221,oman
222,immigration reasons
223,thousands
224,april 17
225,members
226,macau
227,lê minh phiếu
228,kazakhstan
229,jacques rogge
230,park wonsun
231,several protests
232,april 26 2007
233,our sacred torch
234,one
235,15 minutes
236,kazakhstan
237,seven
238,zhang rongan
