id,answer
0,combination
1,capabilities
2,process
3,mac
4,released in september 2008
5,95 %
6,user
7,history
8,september
9,sir tim berners-lee
10,consumer choice
11,industry's first browser war
12,"merely ""web browsers"
13,consumer choice
14,browser extensions
15,entire browser market
16,reduces consumer choice
17,local files
18,google search
19,web browser
20,file formats
21,reduces consumer choice
22,august
23,average person
24,internet explorer
25,form
26,used web browser but still had lower usage than all versions of internet explorer combined had lower usage than all versions of internet explorer combined
27,started his own company
28,open source software model
29,40 million phones
30,rapid development
31,url
32,open source software model
33,file systems
34,95 %
35,web browsers
36,started his own company
37,user interface
38,google chrome
39,user's consent
40,information resources
41,feed
42,feed
43,bookmarks
44,released in september 2008
45,url
46,average person
47,intended to use the world wide web be used to access information provided by web servers in private networks or files in file systems
48,customers
49,customers
50,web pages
51,users
52,user's default newsgroup reader
53,web browser
54,olympics
55,dalai lama
56,media
57,republic day celebrations
58,chinese
59,‘caged woman’
60,free media
61,chinese
62,beijing citizen
63,western media bias
64,palace square
65,
66,chinese
67,olympic flame
68,malaysian capital
69,ngunnawal people
70,lenovo group
71,palace square
72,very good example
73,chinese
74,own initiative
75,anti-china separatists
76,saint petersburg
77,large numbers
78,april
79,french capital
80,confusion
81,democracy
82,april 16
83,pro-beijing camp politicians
84,pressure from both directions
85,olympic games
86,funds
87,mobile protective ring
88,world ’ s worst offenders
89,security services
90,u.s.-based cable news network ( cnn
91,chinese media
92,torch
93,april
94,chinese media
95,torch route
96,torch
97,market
98,xinjiang
99,kind
100,may
101,charges
102,lake
103,chinese
104,kind
105,ancient olympic games
106,olympic torch relay
107,beijing citizen
108,chinese media
109,torchbearers
110,costanera sur
111,athletes
112,interruptions
113,assurances
114,police
115,chinese officials
116,olympic controversy
117,democracy
118,chinese
119,chinese
120,palace square
121,china
122,kind
123,chinese
124,officials
125,participation in the olympic cause
126,tibetan activists
127,stop
128,reaction
129,closed doors
130,may
131,april
132,aluminum
133,chinese
134,chief executive donald tsang
135,scheduled to be the starting point for the olympic torch relay in nagano
136,torch
137,chinese
138,police
139,torchbearers
140,april
141,may
142,pro-tibet demonstrators
143,concerns about pro-tibet protests
144,onlookers
145,august
146,torchbearers
147,paris
148,air
149,tensions
150,chinese
151,torchbearers
152,orderly and legal manner
153,olympics
154,saboteurs
155,tax evasion
156,chinese
157,chinese
158,own initiative
159,olympics
160,1964 tokyo edition
161,china
162,russia
163,konnie huq
164,counter-protesters
165,chinese
166,march
167,torch relays
168,fmr
169,kind
170,propaganda stunt
171,jackie chan
172,sikkimese
173,pro-tibet independent camp
174,kazakhstan nursultan nazarbaev
175,the 2008 summer olympics
176,people
177,1964 tokyo edition
178,stadium
179,olympic flame
180,jackie chan
181,mainland china route
182,`` lack
183,one dream
184,zenkoji monks
185,may
186,‘caged woman’
187,olympics
188,germany
189,chinese
190,torch relay route
191,torch route
192,70 runners
193,bearers
194,regions
195,confusion
196,olympic torch relay
197,china
198,chinese
199,relay
200,thailand
201,handful
202,wan chai
203,anti-japanese protests
204,chinese
205,chinese
206,chinese
207,chinese
208,taksim square
209,china
210,route
211,tibet
212,april
213,dalai lama
214,taksim square
215,chan
216,flame
217,curtailed 3 km route
218,chinese
219,may
220,darfur
221,april
222,`` immigration reasons `` and were forced to leave hong kong
223,previous relays
224,curtailed 3 km route
225,novelty inflatable plastic olympic flames
226,chan
227,blog
228,chinese
229,games
230,chan
231,chinese
232,march
233,sacred torch
234,torchbearers
235,chinese
236,astana square
237,market
238,funds
239,well-coordinated plan to take the day by weight of numbers plan to take the day by weight of numbers
240,kazakhstan nursultan nazarbaev
241,chinese
242,london
243,media
244,torch
245,saint petersburg
246,carrefour boycott
247,may
248,borders organised several symbolic protests scaling the eiffel tower to hang a protest banner from it
249,april
250,western media coverage
251,"""lucky cloud"
252,chan
253,torchbearers
254,volunteers
255,the planned boycott more evident
256,city
257,april
258,mainland china route
259,police vehicle `` for their own protection
260,lovely city
261,relay
262,peace
263,bearers
264,western media bias
265,chinese
266,strong personal reasons
267,west
268,chinese
269,april
270,olympic torch relay
271,macau
272,ancient links
273,torch relay
274,comments
275,protests
276,china's recent crackdown
277,orderly and legal manner
278,taksim square
279,relay
280,"narisa chakrabongse, green world foundation (gwf) chairwoman"
281,torchbearers
282,paralympic games
283,jackie chan
284,funds
285,chinese
286,city
287,chinese embassy
288,notre dame cathedral
289,kind
290,police
291,china
292,costanera sur
293,confiscating tibetan flags from demonstrators
294,syrian actress sulaf fawakherji
